Cod_Pai,Assunto_Descricao
4272,Trancamento
10610,Trancamento
9598,Transação
10630,Transação
10057,Transferência
10228,Transferência
10034,Transferência de Estudante
4843,Transferência de Financiamento (contrato de gaveta)
10907,Transferência de Preso
10353,Transferência ex-officio para reserva
10355,Transferência para reserva
10115,Transgênicos
7688,Transmissão
10061,Transporte
4862,Transporte Aéreo
10077,Transporte Aéreo - Aeroporto
10081,Transporte Aquaviário
11809,Transporte Aquaviário
9599,Transporte de Coisas
9600,Transporte de Pessoas
11814,Transporte Ferroviário
11815,Transporte Rodoviário
7776,Transporte Terrestre
10076,Transporte Terrestre
6212,Tratado Internacional
7794,Tratamento Ambulatorial
10263,Tratamento da Própria Saúde
11883,Tratamento Médico-Hospitalar
12223,Tratamento médico-hospitalar
12489,Tratamento médico-hospitalar
12491,Tratamento médico-hospitalar
10069,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos
9595,Troca ou Permuta
7618,Turismo
12417,Tutela de Evidência
12416,Tutela de Urgência
9192,Tutela Provisória
3462,Ultraje / Impedimento ou Perturbação de Culto Religioso
3469,Ultraje Público ao Pudor (Ato/Escrito Obsceno)
12471,Unaí
10118,Unidade de Conservação da Natureza
12506,Unidade de terapia intensiva (UTI) / unidade de cuidados intensivos (UCI)
12224,Unidade de terapia intensiva (UTI) ou Unidade de cuidados intensivos (UCI)
11885,Unidade de terapia intensiva (UTI) ou unidade de cuidados intensivos (UCI)
6097,Urbana (Art. 48/51)
12503,Urgência
11966,Uso culposo de gás tóxico ou asfixiante
3539,Uso de documento falso
3494,Uso de gás tóxico ou asfixiante
12349,Uso ilegítimo de uniforme ou distintivo
10500,Usucapião da L 6.969/1981
10457,Usucapião Especial (Constitucional)
10460,Usucapião Especial Coletiva
10458,Usucapião Extraordinária
10459,Usucapião Ordinária
3424,Usurpação de águas
3565,Usurpação de função pública
11870,Utilização de bens públicos
6023,Utilização de Dados Relativos à CPMF para Fins de Fiscalização
10514,Utilização de Embrião Humano em Desacordo com a Legislação
6141,Utilização do PNS no Reajuste de Benefícios
8934,Valor da Causa
9149,Valor da Execução / Cálculo / Atualização
10505,Variação Cambial
10143,Veículo de Turista Comunitário MERCOSUL
10492,Veículos
10147,Venda Casada
5866,Venda de Produtos ou Substância nas Condições dos Artigos 274 e 275
11865,Vendas casadas
10732,Verba de Representação
10038,Vestibular
12345,Vias de fato
10890,Vício Formal do Julgamento
10588,Vícios de Construção
9026,Vícios Formais da Sentença
11853,Vigilância Sanitária e Epidemiológica
12519,Vigilância Sanitária e Epidemológica
3460,Vilipêndio a Cadáver
3461,Violação a Sepultura
10014,Violação aos Princípios Administrativos
3410,Violação de comunicação telegráfica radioelétrica ou telefônica
3408,Violação de correspondência
3411,Violação de Correspondência comercial
3443,Violação de direito autoral
3406,Violação de domicílio
3414,Violação do segredo profissional
3564,Violação do sigilo de proposta de concorrência
3563,Violação do sigilo funcional
11919,Violação Prerrogativa Advogado
11416,Violação sexual mediante fraude
3560,Violência arbitrária
10949,Violência Doméstica Contra a Mulher
3594,Violência ou fraude em arrematação judicial
10127,Vistoria
10257,Voluntária
4981,Warrant
11827,Zona Costeira
11826,Zoneamento Ecológico e Econômico
5560,
